,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
544,7,77,error,error,error,error
545,7,78,error,error,error,error
546,7,79,548.79,6221.92,0.9118,lm-1
547,7,80,214.35,541.53,0.6042,lm-1
548,7,81,835.74,7013.28,0.8808,lm-1
549,7,82,715.12,9791.57,0.927,lm-2
550,7,83,139.89,664.43,0.7895,lm-1
551,7,85,823.7,1979.44,0.5839,lm-3
552,7,87,1408.69,14097.98,0.9001,lm-1
553,7,90,2153.02,15723.05,0.8631,lm-1
554,7,91,1313.68,10982.97,0.8804,lm-1
555,7,92,2794.58,29244.92,0.9044,lm-3
556,7,93,336.73,1894.71,0.8223,lm-1
557,7,94,427.22,1552.36,0.7248,lm-2
558,7,95,4135.63,40298.7,0.8974,lm-3
559,7,96,265.43,1256.63,0.7888,lm-1
560,7,97,1433.9,5056.55,0.7164,lm-1
561,7,98,105.55,297.87,0.6456,lm-1
562,7,99,error,error,error,error
563,7,39,error,error,error,error
564,7,50,error,error,error,error
565,7,43,error,error,error,error
566,7,65,error,error,error,error
567,8,1,1005.33,12071.32,0.9167,lm-1
568,8,2,1563.21,35889.38,0.9564,lm-3
569,8,3,7418.02,15643.97,0.5258,lm-1
570,8,4,968.76,22070.34,0.9561,lm-3
571,8,5,3547.83,16488.37,0.7848,lm-1
572,8,6,797.21,2596.73,0.693,lm-1
573,8,7,3162.88,18074.97,0.825,lm-1
